ticker,award_date,company,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_transactions_30d,prior_award_days_30d,pre_volatility_market_20d,relative_strength_spy_60d,relative_strength_spy_120d,prior_response_mean_20d,prior_response_count_60d,event_trading_day,peak_pct,peak_day,day90_pct,actual_winner_ge20,MTS_signal_score,predicted_buy
ACN,2025-08-18,ACCENTURE FEDERAL SERVICES LLC,1,-850290.44,850290.44,13375592.84,5891402.826,2375194.69,19,5,1.9519251333524767,-31.891863102238602,-39.57690180254748,,0,2025-08-18,10.247657515933595,83,8.369132006620594,0,1.6512630295600759,0
ACN,2025-08-26,ACCENTURE FEDERAL SERVICES LLC,1,10930498.3,10930498.3,25607054.43,7463356.767272727,4488027.63,45,11,2.0437839874293267,-28.762788465707878,-37.23760958479065,,0,2025-08-26,7.53268367079476,77,3.3513394999022283,0,1.2686144085255426,0
ACN,2025-08-28,ACCENTURE FEDERAL SERVICES LLC,1,250000.0,250000.0,25607054.43,7905485.058461538,6063204.65,62,13,1.9641358516694523,-26.90550353538691,-37.73680348811479,,0,2025-08-28,7.7136215473956105,89,6.95241417404191,0,1.1595576419910023,0
ACN,2025-09-09,ACCENTURE FEDERAL SERVICES LLC,1,1125355.3,1125355.3,43706678.09,12720164.7885,13457504.295,111,20,1.2982319039742511,-28.42763973898336,-38.077348127225065,,0,2025-09-09,14.504539062923438,88,13.579898081593678,0,1.1934165310802325,0
ACN,2025-09-17,ACCENTURE FEDERAL SERVICES LLC,1,2277262.73,2277262.73,45158749.55,13566253.234074073,13375592.84,134,22,1.3479005118125693,-27.650604879897433,-37.9717515010186,0.7900597913447549,0,2025-09-17,19.607020885310767,82,14.325967019170726,0,1.1416294082181353,0
ACN,2025-09-24,ACCENTURE FEDERAL SERVICES LLC,1,-226094.08,226094.08,101210178.16000001,16913124.076875,13993665.835,161,22,1.3442047298001711,-26.907380579223126,-41.44621043785295,-3.3630985546832552,0,2025-09-24,20.68762915258706,77,0.8909134681900577,1,1.042631658961396,0
ACN,2025-09-26,ACCENTURE FEDERAL SERVICES LLC,4,-143432.79000000004,803101.89,101210178.16000001,18999786.962352943,15655307.075,177,22,1.5995153477658957,-27.514871764480976,-47.06373969918517,-3.9949409550501804,0,2025-09-26,20.743179523820654,75,-2.255519786238236,1,1.0393966106637293,0
ACN,2025-09-29,ACCENTURE FEDERAL SERVICES LLC,2,974422.55,974422.55,101210178.16000001,18584544.840810813,14447915.92,180,22,1.7589125386886717,-24.977926783357074,-44.72009983535651,-4.361380565974205,0,2025-09-29,16.81780991227233,74,-2.582998167593187,0,1.0219289966817888,0
ACN,2025-10-14,ACCENTURE FEDERAL SERVICES LLC,1,-3148916.42,3148916.42,101210178.16000001,18708705.21116279,13539415.75,146,18,1.7967949038348947,-19.155714333137375,-39.22536807302633,-4.468843628730438,0,2025-10-14,18.1572455170395,63,-19.438987829994257,0,0.9593376758627719,0
ACN,2025-10-23,ACCENTURE FEDERAL SERVICES LLC,2,1908496.99,1908496.99,101210178.16000001,16975326.191666666,12060142.815,105,17,1.9065628676917936,-15.001028802747339,-36.98074280738223,-2.7788286575336647,0,2025-10-23,15.503778785847434,56,-14.334892733301707,0,0.9142824410433776,0
